Country,Any_mandatory_MF_LF_filing,MF_deadline,MF_filing_req,MF_threshold,LF_deadline,LF_filing_req,LF_threshold,CbCr_notification_deadline,CbCr_filing_deadline,CbCr_threshold,Local_TP_reqs,Local_TP_reqs_deadline,Other
Albania,No,,No,,,No,,Last day of the reporting fiscal year of the MNE Group,12 months after the last day of the reporting fiscal year of the MNE Group,"ALL105 billion (approx. EUR 1,050 million) consolidated group revenue",Annual TP documentation required for taxpayers with turnover > ALL50 million. Stand-alone reports for each entity. Annual controlled transaction notice required if aggregate controlled transactions > ALL50 million.,Annual controlled transaction notice: 31 March of following year; Documentation available within 30 days of request.,"Thin capitalization rules: debt-to-equity ratio > 4:1; net interest expense > 30% of EBITDA non-deductible for related-party loans. Penalties for CbCR non-submission: ALL10,000/month (up to 12 months) + ALL200,000 fixed. Penalties for annual controlled transaction notice non-filing: ALL10,000/month. Penalties for incomplete/missing TP documentation: 0.06% of unpaid liability per day, capped at 21.9%. Statute of limitations: 5 years. APAs and MAPs available."
Algeria,No,,No,,,No,"Annual turnover or gross assets of at least DZD1 billion, or specific ownership/voting rights criteria related to a DZD1 billion turnover/asset company.",,,"Online annual TP declaration; annual preparation of Local File (not filed, but presented upon audit); contemporaneous documentation; stand-alone reports for each entity; local language (French) for documentation; analytical accounting info upon request; related-party disclosures with CIT return; domestic transactions covered.","Online annual TP declaration by 30 April. Local File prepared contemporaneously, submitted within 15 days upon tax audit request.","OECD principles followed. No BEPS Action 13, CbCR, Master File, or PCbCR. Domestic TP applies. Local comparables preferred. Penalties: DZD15 million for failure to submit online TP declaration or incorrect info; 2% of transactions (min DZD10 million) for failure to provide documentation upon audit request. Statute of limitations: 4 years. Audit focus: oil & gas, pharma, ICT, large payments to foreign related parties. No specific APA, but binding tax ruling available and foreign APAs may be requested. Interest deductibility rules apply to shareholder and related party loans (limited by Bank of Algeria rates; shareholder loans also limited to 50% of capital).",
Angola,No,Not applicable,No,Not applicable,30 June,No,Not applicable,Not applicable,Not applicable,Not applicable,"Yes, local TP documentation required annually, submitted in Portuguese, for entities with annual revenue > AOA7 billion or on large taxpayer list. Stand-alone reports for each entity. Individual testing. Traditional methods preferred. Detailed form describing TP policy also required. Burden of proof for market prices on services from related foreign entities.",30 June,"No Master File/Local File/CbCR. Joined BEPS Inclusive Framework but no BEPS changes yet. OECD Guidelines not adopted but some language included. No APA program. MAP only via DTTs (e.g., Portugal). No thin capitalization rules, but shareholder loan interest deductibility has conditions. Penalties for non-compliance include AOA10,000-AOA50,000, shifting burden of proof, and potential blocking of foreign currency transactions. TP adjustment penalty is 25% of additional tax + 12% annual interest. Statute of limitations is 5 years (10 for infringement). Large taxpayers are frequently audited."
Argentina,Yes,12 months after fiscal year-end,"Yes, with thresholds","Group consolidated annual income > ARS4 billion AND intercompany transactions > ARS3 million (total) or ARS300,000 (individual). Mandatory if CbCR is filed.",6 months after fiscal year-end,"Yes, with thresholds","Intercompany transactions > ARS30 million (if MF/CbCR not required); or > ARS3 million (total) or > ARS300,000 (individual) otherwise.",Third month after fiscal year-end (first notification); second month after CbCR filing (second notification),12 months after fiscal year-end,EUR750 million annual global income in previous fiscal year,"Specific rules for international intermediaries, commodity imports/exports, services benefit test, financial transactions documentation, thin capitalization rules (30% EBITDA limit), and specific TP returns (Forms 2668 & 4501).",6 months after fiscal year-end for TP returns (Forms 2668 & 4501); Local File deadline for other documentation.,"TP documentation in Spanish; individual testing preferred; interquartile range mandatory, median for adjustments; significant penalties for non-compliance (e.g., ARS20,000 for MF/LF, ARS600k-900k for CbCR filing); statute of limitations 5-10 years; high audit risk; APAs available (regulations pending); MAP available (complex); OECD Guidelines recognized in practice if not contradictory; Various Income Tax Acts and rulings."
Armenia,Yes,30 working days after request,Annual global income less than EUR750 million,Less than EUR750 million annual global income,30 working days after request,Controlled transactions > AMD200 million,Controlled transactions > AMD200 million,12 months after reporting period end,12 months after reporting period end,Annual global income > EUR750 million,"Tax Code of the Republic of Armenia, Chapter 73. Annual TP documentation required for controlled transactions (including certain domestic ones) if sum > AMD200 million. Stand-alone reports for each entity. Notification form on controlled transactions required.",Notification by 20 April; Documentation within 30 working days of request,"Penalties for late/incomplete notification (AMD1-5 million) and late documentation (10% of controlled transactions). Statute of limitations: 5 years. Thin capitalization rules apply (2x/9x net assets). APAs available (up to 3+2 years). TP documentation in Russian, English, or Armenian (translation required on request). Multiyear analysis preferred for benchmarking. Self-adjustment to lower quartile, tax authority adjustment to median."
Australia,"Yes, for CbCREs",12 months after year-end,For CbCREs (MNEs with AUD1 billion+ global income),AUD1 billion (Annual global income),12 months after year-end,For CbCREs (MNEs with AUD1 billion+ global income),AUD1 billion (Annual global income),12 months after year-end,12 months after year-end,AUD1 billion (Annual global income),"TP documentation not compulsory but crucial for penalty protection (RAP). Must be contemporaneous, annual, in English, and meet specific content (Subdivision 284-E TAA 1953). Strong preference for local comparables; multi-year analysis acceptable but challenged if inconsistent. Interquartile range used, but specific point may be challenged. Benchmarking can be rolled forward; weighted averages preferred. IDS and RTP schedules required. Most appropriate TP method per OECD guidelines.",Tax return lodgment date (six months and 15 days after year-end for most companies),"Diverted Profits Tax (DPT) at 40% for SGEs (AUD1bn+ global turnover) with low overseas tax. Public CbCR from 1 July 2024 for AUD1bn+ global income (AUD10m+ Aus revenue), due 12 months after year-end, with high penalties. Thin capitalization rules apply. High penalties for SGEs (up to AUD825k for non-lodgment; 10-50% of shortfall, doubled for SGEs). Statute of limitations is 7 years (indefinite for pre-July 2013). APAs and MAP available. ATO audits focus on specific risk factors and typically adjust to the median."
Austria,Yes,30 days upon request (earliest 30 days after tax return filing),Yes,EUR50 million (turnover in each of previous two FYs),30 days upon request (earliest 30 days after tax return filing),Yes,EUR50 million (turnover in each of previous two FYs),31 December,12 months after the end of the respective FY,EUR750 million (annual global income),"TPDL and ATPG 2021 require Master File, Local File, CbCR. Documentation must be contemporaneous. OECD Guidelines largely followed. Domestic transactions affecting cross-border TP must be documented. German/English language allowed. Individual transaction testing preferred.",At the time of the transaction or no later than the time of completing and filing the tax return for the fiscal year,"No penalty protection. CbCR penalties up to EUR50,000; other TP documentation penalties up to EUR5,000. Late-payment interest on adjustments. Statute of limitations 6-10 years. TP audits common, adjustments to arm's-length range. APAs and MAP available. Thin capitalization rules (20-25% equity ratio recommended). Public CbCR applies from FYs starting after 21 June 2024 (EUR750m threshold, penalties up to EUR100,000)."
Azerbaijan,"No, upon request",Upon request during tax audit,"Yes, upon request",Not specified,"Upon request (5 business days for desk audit, 60 days for field audit)","Yes, upon request",Not specified,30 June,31 December of the following year,EUR750 million MNE consolidated income,"Local TP regulations (Tax Code, TP Rules) require preparation of Master File, Local File, CbCR (upon request for MF/LF), annual notification on controlled transactions (threshold AZN500,000), annual arm's-length review, individual transaction testing, multi-year benchmarking, annual benchmarking refresh, and local language translation upon request.",Notification on controlled transactions by 31 March; Master File and Local File upon request (5-60 days); CbCR notification by 30 June; CbCR by 31 December.,"Domestic transactions not subject to TP. OECD Guidelines largely relied upon. BEPS Action 13 structure followed, but localization needed for penalty protection. MCAA signatory. No safe harbors. CUP method preferred. Penalties for non-submission/inaccurate info. Statute of limitations 3-5 years. Median used for adjustments. Unilateral APAs available (3-year tenure). MAP available. Thin capitalization rules exist. No PCbCR."
Bahrain,No,Not applicable,No,No threshold as such (applies to entities under Bahrain DMTT Law),No statutory deadline,No,No threshold as such (applies to entities under Bahrain DMTT Law),Last day of the fiscal year,12 months from the end of the fiscal year,Consolidated revenues equal to or exceeding BHD342 million (approx. EUR760 million/USD900 million),"TP documentation required for in-scope MNEs/CEs under Bahrain DMTT Law and Executive Regulations, to be prepared annually and contemporaneously, with stand-alone reports for each entity",Contemporaneously,"DMTT Law effective 1 Jan 2025 for in-scope MNEs/CEs; no general corporate tax or TP rules except for oil/gas; BEPS Action 13 report provides penalty protection; no explicit TP penalties for documentation/MF, but CbCR failure incurs penalties up to BHD100,000 and commercial registration suspension; APAs not available; MAP available"
Bangladesh,No,,No,,,No,,,,,"TP documentation required to be maintained annually for aggregate international transactions exceeding BDT 30 million, submitted upon request. A Statement of International Transactions (SIT) and an accountant's report (if aggregate international transactions exceed BDT 30 million) are also required.",15 July or 15 September,"TP regulations are in Sections 233-239 and 276-279 of the Income Tax Act, 2023. Bangladesh largely relies on OECD TP Guidelines but is not an OECD member. No formal APA program. Penalties apply for non-compliance (e.g., up to 2% of international transaction value for SIT failure, BDT300,000 for missing accountant's certificate). Statute of limitations for TP assessments is 3 years. Regional benchmarking is undertaken; 30th-70th percentile range for 6+ data sets."
